1574813695.345713, -250.0
1574813695.425562, -250.0
1574813695.505062, -250.0
1574813695.584211, -250.0
1574813695.663435, -250.0
1574813695.742619, -250.0
1574813695.821343, -250.0
1574813695.903872, -250.0
1574813695.98464, -250.0
1574813696.066322, -250.0
1574813696.147478, -250.0
1574813696.226848, -250.0
1574813696.307745, -250.0
1574813696.388621, -250.0
1574813696.474465, -250.0
1574813696.555919, -250.0
1574813696.635431, -250.0
1574813696.7161, -250.0
1574813696.797157, -250.0
1574813696.8783, -250.0
1574813696.959139, -250.0
1574813697.044349, -250.0
1574813697.124764, -250.0
1574813697.205966, -250.0
1574813697.28708, -250.0
1574813697.368293, -250.0
1574813697.449225, -250.0
1574813697.533138, -250.0
1574813697.61426, -250.0
1574813697.699614, -250.0
1574813697.779432, -250.0
1574813697.867295, -250.0
1574813697.948614, -250.0
1574813698.035008, -250.0
1574813698.123807, -250.0
1574813698.210796, -250.0
1574813698.30012, -250.0
1574813698.387176, -250.0
1574813698.473254, -250.0
1574813698.560255, -250.0
1574813698.648627, -250.0
1574813698.733322, -250.0
1574813698.814602, -250.0
1574813698.900909, -250.0
1574813698.982216, -250.0
1574813699.063391, -250.0
1574813700.478006, -250.0
1574813700.556936, -250.0
1574813700.638281, -250.0
1574813700.717933, -250.0
1574813695.335792, -264.0
1574813698.995883, -250.0
1574813700.306343, -250.0
1574813700.37178, -250.0
1574813700.43742, -250.0
1574813700.50096, -250.0
1574813700.567209, -250.0
1574813704.439259, -250.0
1574813704.502847, -250.0
1574813707.113109, -244.0
1574813708.490006, -244.0
1574813709.799978, -244.0
1574813712.434811, -244.0
1574813716.846559, -244.0
1574813720.999435, -244.0
1574813723.230649, -244.0
1574813725.540746, -244.0
1574813728.477737, -244.0
1574813733.25308, -244.0
1574813736.140936, -244.0
1574813740.768596, -244.0
1574813744.010887, -244.0
1574813747.122066, -244.0
1574813749.317836, -244.0
1574813751.649692, -244.0
1574813754.301351, -244.0
1574813757.627137, -244.0
1574813760.884149, -244.0
1574813763.944116, -244.0
1574813766.094023, -244.0
1574813769.149772, -244.0
1574813772.125303, -241.0
1574813774.896586, -241.0
1574813777.807363, -241.0
1574813780.696653, -241.0
1574813782.536499, -241.0
1574813785.587052, -241.0
1574813787.523661, -241.0
1574813789.427438, -241.0
1574813791.354225, -241.0
1574813794.519537, -241.0
1574813797.674098, -241.0
1574813801.325955, -241.0
1574813804.344384, -241.0
1574813807.038988, -241.0
1574813809.870464, -241.0
1574813812.874548, -241.0
1574813815.804246, -241.0
1574813819.50185, -241.0
1574813822.222595, -241.0
1574813695.437882, -250.0
1574813704.272869, -250.0
1574813704.399063, -250.0
1574813704.524755, -250.0
1574813704.650821, -250.0
1574813704.780241, -250.0
1574813704.912432, -250.0
1574813705.121384, -250.0
1574813705.258527, -250.0
1574813705.395511, -250.0
1574813705.535053, -250.0
1574813717.616738, -244.0
1574813722.274724, -244.0
1574813727.07687, -244.0
1574813732.294912, -244.0
1574813739.08171, -244.0
1574813744.301496, -244.0
1574813750.776077, -244.0
1574813754.475455, -244.0
1574813756.651858, -244.0
1574813759.766541, -244.0
1574813761.097596, -244.0
1574813762.444889, -244.0
1574813766.381665, -244.0
1574813772.785365, -241.0
1574813777.798598, -241.0
1574813782.428423, -241.0
1574813787.688502, -241.0
1574813792.873035, -241.0
1574813799.072937, -241.0
1574813806.487141, -241.0
1574813814.664726, -241.0
1574813822.009003, -241.0
1574813829.154151, -241.0
1574813835.682971, -241.0
1574813842.627953, -241.0
1574813849.129198, -241.0
1574813856.315487, -241.0
1574813863.405164, -241.0
1574813870.107762, -241.0
1574813876.365995, -241.0
1574813885.37067, -241.0
1574813891.551246, -241.0
1574813896.860384, -241.0
1574813901.853621, -241.0
1574813906.940489, -241.0
1574813911.547139, -241.0
1574813916.219684, -241.0
1574813920.875447, -241.0
1574813925.435346, -241.0
1574813695.354131, -250.0
1574813699.112344, -250.0
1574813699.177111, -250.0
1574813699.241576, -250.0
1574813699.30621, -250.0
1574813699.370553, -250.0
1574813699.443193, -250.0
1574813699.510124, -250.0
1574813699.57725, -250.0
1574813699.643617, -250.0
1574813703.757144, -250.0
1574813705.029018, -250.0
1574813705.107235, -250.0
1574813705.170814, -250.0
1574813705.236274, -250.0
1574813705.30133, -250.0
1574813705.366444, -250.0
1574813705.432411, -250.0
1574813705.50363, -250.0
1574813705.56885, -250.0
1574813710.469487, -244.0
1574813714.951792, -244.0
1574813719.3909, -244.0
1574813723.723221, -244.0
1574813726.056865, -244.0
1574813728.528275, -244.0
1574813730.899008, -244.0
1574813733.215061, -244.0
1574813735.693017, -244.0
1574813737.953524, -244.0
1574813740.238111, -244.0
1574813742.571408, -244.0
1574813744.870426, -244.0
1574813747.177643, -244.0
1574813749.443062, -244.0
1574813751.74249, -244.0
1574813754.630756, -244.0
1574813757.812237, -244.0
1574813760.069028, -244.0
1574813762.355616, -244.0
1574813764.651561, -244.0
1574813767.037131, -244.0
1574813769.285157, -244.0
1574813771.496043, -241.0
1574813773.787859, -241.0
1574813776.065154, -241.0
1574813778.557151, -241.0
1574813780.997228, -241.0
1574813783.365656, -241.0
1574813785.685463, -241.0
1574813700.831375, -250.0
1574813700.896325, -250.0
1574813700.96145, -250.0
1574813701.024532, -250.0
1574813701.090881, -250.0
1574813701.15598, -250.0
1574813701.219401, -250.0
1574813701.286477, -250.0
1574813701.351683, -250.0
1574813701.414889, -250.0
1574813701.480136, -250.0
1574813701.544959, -250.0
1574813701.612116, -250.0
1574813701.67543, -250.0
1574813701.740667, -250.0
