-8.652100000000000000e+04,-8.647600000000000000e+04,-8.569900000000000000e+04,-8.663300000000000000e+04,-8.721900000000000000e+04,-8.672400000000000000e+04,-8.601800000000000000e+04,-8.557400000000000000e+04
-1.137960000000000000e+05,-1.162420000000000000e+05,-1.140050000000000000e+05,-1.174030000000000000e+05,-1.168150000000000000e+05,-1.142610000000000000e+05,-1.157700000000000000e+05,-1.159890000000000000e+05
-1.346240000000000000e+05,-1.353440000000000000e+05,-1.362180000000000000e+05,-1.362040000000000000e+05,-1.358600000000000000e+05,-1.361660000000000000e+05,-1.348850000000000000e+05,-1.374230000000000000e+05
-1.175680000000000000e+05,-1.186510000000000000e+05,-1.184540000000000000e+05,-1.170500000000000000e+05,-1.171700000000000000e+05,-1.176150000000000000e+05,-1.190770000000000000e+05,-1.181930000000000000e+05
-1.029280000000000000e+05,-1.019240000000000000e+05,-1.013050000000000000e+05,-1.032590000000000000e+05,-1.021730000000000000e+05,-1.016310000000000000e+05,-1.006940000000000000e+05,-1.019770000000000000e+05
-9.339200000000000000e+04,-9.275000000000000000e+04,-9.284800000000000000e+04,-9.137800000000000000e+04,-9.203100000000000000e+04,-9.240300000000000000e+04,-9.323100000000000000e+04,-9.291000000000000000e+04
-8.681600000000000000e+04,-8.669200000000000000e+04,-8.654200000000000000e+04,-8.782000000000000000e+04,-8.664500000000000000e+04,-8.732500000000000000e+04,-8.809200000000000000e+04,-8.699500000000000000e+04
-8.378100000000000000e+04,-8.315800000000000000e+04,-8.233100000000000000e+04,-8.375100000000000000e+04,-8.210800000000000000e+04,-8.295900000000000000e+04,-8.311000000000000000e+04,-8.306400000000000000e+04
-7.943200000000000000e+04,-7.990700000000000000e+04,-7.938200000000000000e+04,-7.869900000000000000e+04,-7.882500000000000000e+04,-7.893100000000000000e+04,-7.793900000000000000e+04,-7.863200000000000000e+04
-7.610300000000000000e+04,-7.640100000000000000e+04,-7.515100000000000000e+04,-7.561000000000000000e+04,-7.569700000000000000e+04,-7.562600000000000000e+04,-7.658400000000000000e+04,-7.598900000000000000e+04
-7.203800000000000000e+04,-7.196800000000000000e+04,-7.165300000000000000e+04,-7.158400000000000000e+04,-7.114700000000000000e+04,-7.146000000000000000e+04,-7.206900000000000000e+04,-7.380400000000000000e+04
-6.678600000000000000e+04,-6.762900000000000000e+04,-6.712700000000000000e+04,-6.852500000000000000e+04,-6.674700000000000000e+04,-6.892300000000000000e+04,-6.776300000000000000e+04,-6.803700000000000000e+04
-6.338300000000000000e+04,-6.397200000000000000e+04,-6.383400000000000000e+04,-6.416600000000000000e+04,-6.504800000000000000e+04,-6.467200000000000000e+04,-6.446900000000000000e+04,-6.326600000000000000e+04
-5.955500000000000000e+04,-6.136100000000000000e+04,-6.101900000000000000e+04,-6.103500000000000000e+04,-6.158500000000000000e+04,-6.007900000000000000e+04,-6.088800000000000000e+04,-6.091500000000000000e+04
-6.084700000000000000e+04,-6.136600000000000000e+04,-6.162300000000000000e+04,-6.041100000000000000e+04,-6.149500000000000000e+04,-6.122700000000000000e+04,-5.927300000000000000e+04,-6.114400000000000000e+04
-6.208200000000000000e+04,-6.131100000000000000e+04,-6.252400000000000000e+04,-6.245600000000000000e+04,-6.232400000000000000e+04,-6.138000000000000000e+04,-6.184400000000000000e+04,-6.154300000000000000e+04
