10873,2019-12-12 00:49:42.545449, 2019-12-12 00:54:31.007324, 0:04:48.461875, [1,0,1,...,0,1,1]
10823,2019-12-12 01:16:24.613428, 2019-12-12 01:20:57.320202, 0:04:32.706774, [1,1,0,...,0,0,0]
10749,2019-12-12 01:43:11.643108, 2019-12-12 01:47:44.719787, 0:04:33.076679, [0,1,0,...,1,1,1]
11075,2019-12-12 02:09:47.134910, 2019-12-12 02:14:19.119367, 0:04:31.984457, [0,1,0,...,1,0,0]
10893,2019-12-12 02:36:23.907112, 2019-12-12 02:40:54.954878, 0:04:31.047766, [0,0,1,...,0,0,0]
10949,2019-12-12 03:03:04.801863, 2019-12-12 03:07:48.853912, 0:04:44.052049, [1,0,1,...,0,1,0]
10884,2019-12-12 03:29:44.208793, 2019-12-12 03:34:22.596377, 0:04:38.387584, [1,1,1,...,1,0,1]
10954,2019-12-12 03:56:23.313529, 2019-12-12 04:01:04.761485, 0:04:41.447956, [0,1,0,...,0,1,1]
10902,2019-12-12 04:23:20.529168, 2019-12-12 04:27:56.171053, 0:04:35.641885, [1,0,1,...,0,1,0]
10786,2019-12-12 04:50:30.372969, 2019-12-12 04:55:03.939795, 0:04:33.566826, [1,1,0,...,0,0,1]
10902,2019-12-12 05:17:08.677845, 2019-12-12 05:21:45.684565, 0:04:37.006720, [1,0,0,...,1,1,0]
