8616,2019-12-12 00:58:51.764105, 2019-12-12 01:03:21.496930, 0:04:29.732825, [1,1,1,...,1,1,1]
8712,2019-12-12 01:25:16.843478, 2019-12-12 01:29:56.892333, 0:04:40.048855, [1,1,0,...,0,0,0]
8816,2019-12-12 01:51:59.579070, 2019-12-12 01:56:32.950669, 0:04:33.371599, [1,0,1,...,1,0,1]
8604,2019-12-12 02:18:31.853368, 2019-12-12 02:23:11.043307, 0:04:39.189939, [1,1,1,...,1,1,0]
8686,2019-12-12 02:45:16.132616, 2019-12-12 02:49:54.174230, 0:04:38.041614, [1,1,0,...,1,1,0]
8674,2019-12-12 03:12:06.124865, 2019-12-12 03:16:39.763277, 0:04:33.638412, [1,0,0,...,1,1,0]
8703,2019-12-12 03:38:38.621172, 2019-12-12 03:43:07.627330, 0:04:29.006158, [1,1,0,...,1,1,0]
8699,2019-12-12 04:05:22.618151, 2019-12-12 04:09:52.930963, 0:04:30.312812, [1,1,1,...,1,1,1]
8671,2019-12-12 04:32:17.092061, 2019-12-12 04:37:29.240121, 0:05:12.148060, [1,1,1,...,1,1,0]
8700,2019-12-12 04:59:21.516408, 2019-12-12 05:03:55.175292, 0:04:33.658884, [0,1,0,...,1,1,0]
8607,2019-12-12 05:26:08.782848, 2019-12-12 05:30:48.268380, 0:04:39.485532, [1,1,1,...,0,0,1]
