19922,2019-12-12 00:40:52.649838, 2019-12-12 00:45:31.711336, 0:04:39.061498, [1,1,1,...,1,1,1]
18873,2019-12-12 01:07:40.979549, 2019-12-12 01:12:10.242045, 0:04:29.262496, [0,1,1,...,1,0,0]
17656,2019-12-12 01:34:13.502242, 2019-12-12 01:38:49.795503, 0:04:36.293261, [1,1,0,...,1,1,1]
18188,2019-12-12 02:00:49.213836, 2019-12-12 02:05:29.593629, 0:04:40.379793, [1,0,1,...,1,1,1]
19765,2019-12-12 02:27:24.852055, 2019-12-12 02:32:03.600121, 0:04:38.748066, [0,1,1,...,1,1,1]
17959,2019-12-12 02:54:10.563326, 2019-12-12 02:58:47.780385, 0:04:37.217059, [0,1,1,...,1,0,0]
19064,2019-12-12 03:20:58.508802, 2019-12-12 03:25:32.233391, 0:04:33.724589, [1,0,1,...,1,0,0]
19359,2019-12-12 03:47:20.261515, 2019-12-12 03:52:04.529641, 0:04:44.268126, [1,1,1,...,1,0,1]
18792,2019-12-12 04:14:13.317142, 2019-12-12 04:19:00.155406, 0:04:46.838264, [1,0,0,...,1,1,1]
17746,2019-12-12 04:41:45.002491, 2019-12-12 04:46:17.600725, 0:04:32.598234, [1,1,1,...,1,1,0]
17999,2019-12-12 05:08:11.626759, 2019-12-12 05:12:48.957966, 0:04:37.331207, [1,1,1,...,1,1,0]
